Data;Number of fault circuits per day
20/04/2024;0
21/04/2024;0
22/04/2024;0
23/04/2024;0
24/04/2024;0
25/04/2024;0
26/04/2024;0
27/04/2024;1
28/04/2024;1
29/04/2024;1
30/04/2024;2
01/05/2024;7
02/05/2024;13
03/05/2024;11
04/05/2024;14
05/05/2024;23
06/05/2024;23
07/05/2024;26
08/05/2024;12
09/05/2024;10
10/05/2024;11
11/05/2024;10
12/05/2024;10
13/05/2024;10
14/05/2024;10
15/05/2024;10
16/05/2024;9
17/05/2024;8
18/05/2024;8
19/05/2024;9
20/05/2024;8
21/05/2024;4
22/05/2024;4
23/05/2024;5
24/05/2024;3
25/05/2024;4
26/05/2024;7
27/05/2024;4
28/05/2024;4
29/05/2024;4
30/05/2024;4
31/05/2024;3
01/06/2024;0
02/06/2024;0
03/06/2024;0
04/06/2024;0
05/06/2024;0
06/06/2024;0
07/06/2024;0
08/06/2024;0
09/06/2024;0
10/06/2024;0
11/06/2024;0
12/06/2024;0
13/06/2024;0
14/06/2024;0
15/06/2024;0
16/06/2024;0
17/06/2024;0
18/06/2024;0
19/06/2024;0
20/06/2024;0
21/06/2024;0
22/06/2024;0
23/06/2024;1
24/06/2024;0
25/06/2024;0
26/06/2024;0
27/06/2024;0
28/06/2024;0
29/06/2024;0
30/06/2024;0
