Latitude,Longitude,Company
"30° 01' 45.90"" S","51° 13' 56.00"" W",Mobile-1
"30° 02' 12.25"" S","51° 13' 56.06"" W",Mobile-1
"29° 58' 26.07"" S","51° 10' 33.59"" W",Mobile-1
"30° 01' 46.70"" S","51° 13' 31.80"" W",Mobile-1
"29° 59' 23.00"" S","51° 10' 34.00"" W",Mobile-1
"30° 04' 35.89"" S","51° 07' 45.77"" W",Mobile-1
"30° 02' 23.13"" S","51° 09' 46.96"" W",Mobile-1
"29° 59' 56.98"" S","51° 11' 23.60"" W",Mobile-1
"30° 00' 51.56"" S","51° 11' 18.50"" W",Mobile-1
"30° 03' 03.56"" S","51° 12' 40.27"" W",Mobile-1
"30° 06' 23.55"" S","51° 14' 31.99"" W",Mobile-1
"30° 05' 23.72"" S","51° 14' 05.55"" W",Mobile-1
"30° 02' 04.07"" S","51° 11' 28.29"" W",Mobile-1
"30° 06' 31.28"" S","51° 10' 17.47"" W",Mobile-1
"30° 00' 38.56"" S","51° 11' 55.01"" W",Mobile-1
"30° 05' 16.02"" S","51° 12' 53.38"" W",Mobile-1
"29° 36' 52.30"" S","50° 55' 30.30"" W",Mobile-1
"28° 46' 36.30"" S","52° 59' 12.10"" W",Mobile-1
"30° 01' 40.11"" S","51° 10' 24.09"" W",Mobile-1
"32° 10' 36.95"" S","52° 09' 08.01"" W",Mobile-1
"30° 04' 00.52"" S","51° 14' 18.11"" W",Mobile-1
"30° 54' 40.60"" S","51° 30' 01.40"" W",Mobile-1
"29° 49' 45.21"" S","52° 35' 46.68"" W",Mobile-1
"30° 03' 39.08"" S","51° 11' 34.25"" W",Mobile-1
"29° 25' 34.79"" S","51° 20' 20.76"" W",Mobile-1
"29° 45' 37.69"" S","51° 05' 45.89"" W",Mobile-1
"29° 32' 44.01"" S","51° 21' 33.72"" W",Mobile-1
"30° 01' 35.69"" S","51° 13' 12.18"" W",Mobile-1
"30° 03' 45.83"" S","51° 09' 42.96"" W",Mobile-1
"28° 34' 02.25"" S","50° 59' 54.56"" W",Mobile-1
"29° 34' 19.92"" S","51° 15' 45.00"" W",Mobile-1
"29° 21' 51.51"" S","50° 51' 45.81"" W",Mobile-1
"31° 52' 11.09"" S","54° 09' 44.42"" W",Mobile-1
"30° 09' 06.98"" S","50° 54' 00.97"" W",Mobile-1
"28° 20' 53.92"" S","52° 29' 32.09"" W",Mobile-1
"29° 41' 21.00"" S","53° 48' 10.40"" W",Mobile-1
"30° 05' 07.64"" S","51° 11' 03.33"" W",Mobile-1
"30° 02' 26.43"" S","51° 13' 08.40"" W",Mobile-1
"30° 01' 23.95"" S","51° 13' 14.05"" W",Mobile-1
"29° 59' 23.54"" S","51° 11' 41.85"" W",Mobile-1
"29° 58' 40.44"" S","51° 10' 03.11"" W",Mobile-1
"30° 05' 33.35"" S","51° 43' 55.07"" W",Mobile-1
"30° 52' 09.70"" S","51° 49' 01.90"" W",Mobile-1
"29° 39' 36.09"" S","50° 45' 56.08"" W",Mobile-1
"30° 02' 12.60"" S","51° 13' 40.00"" W",Mobile-1
"31° 44' 40.99"" S","52° 19' 29.76"" W",Mobile-1
"27° 39' 22.00"" S","54° 45' 58.00"" W",Mobile-1
"29° 53' 42.43"" S","50° 14' 51.14"" W",Mobile-1
"30° 01' 40.20"" S","51° 13' 47.70"" W",Mobile-1
"29° 45' 48.00"" S","51° 08' 34.50"" W",Mobile-1
"29° 38' 31.00"" S","50° 59' 55.00"" W",Mobile-1
"29° 22' 54.00"" S","51° 19' 01.00"" W",Mobile-1
"30° 21' 17.46"" S","51° 25' 25.00"" W",Mobile-1
"27° 53' 30.00"" S","54° 28' 36.00"" W",Mobile-1
"29° 45' 39.40"" S","51° 35' 33.00"" W",Mobile-1
"30° 00' 29.05"" S","50° 09' 56.63"" W",Mobile-1
"30° 00' 34.13"" S","51° 09' 04.32"" W",Mobile-1
"28° 31' 26.20"" S","53° 59' 50.20"" W",Mobile-1
"27° 49' 54.98"" S","54° 03' 22.97"" W",Mobile-1
"30° 01' 43.79"" S","51° 13' 10.09"" W",Mobile-1
"29° 38' 30.30"" S","51° 08' 41.10"" W",Mobile-1
"30° 33' 01.00"" S","52° 31' 53.90"" W",Mobile-1
"30° 05' 59.36"" S","51° 13' 56.11"" W",Mobile-1
"29° 42' 37.44"" S","53° 46' 37.15"" W",Mobile-1
"28° 14' 29.00"" S","53° 46' 10.00"" W",Mobile-1
"30° 59' 16.40"" S","54° 40' 49.70"" W",Mobile-1
"29° 32' 53.77"" S","49° 53' 08.88"" W",Mobile-1
